Photo,Zone A,Zone B,pattern_energy_diff,Background,Model,Diff100
ElianeR_19APR_MSPEC,a1,a1,0.029031888,Random,BlueTit,2.9031888
GibbardR_23APR_MSPEC,a1,a1,0.719870768,Random,BlueTit,71.9870768
GibbardR_30APR_MSPEC,a1,a1,0.054819037,Random,BlueTit,5.4819037
HankR_14MAY_MSPEC,a1,a1,0.238046316,Random,BlueTit,23.8046316
HankR_19MAY_MSPEC,a1,a1,0.109388304,Random,BlueTit,10.9388304
Hank_05JULY_MSPEC,a1,a1,0.074109497,Random,BlueTit,7.4109497
Hank_09JULY_MSPEC,a1,a1,0.058374083,Random,BlueTit,5.8374083
Hank_30JUL22_R,a1,a1,0.050978656,Random,BlueTit,5.0978656
KurtR_07MAY_MSPEC,a1,a1,0.08646997,Random,BlueTit,8.646997
KurtR_14MAY_MSPEC,a1,a1,0.412032539,Random,BlueTit,41.2032539
KurtR_30APRIL_MSPEC,a1,a1,0.057948277,Random,BlueTit,5.7948277
ShakeyR_05APRIL_MSPEC,a1,a1,0.096661584,Random,BlueTit,9.6661584
ShakeyR_07MAY_MSPEC,a1,a1,0.179426905,Random,BlueTit,17.9426905
ShakeyR_11JUNE_MSPEC,a1,a1,0.05384904,Random,BlueTit,5.384904
ShakeyR_12APRIL_MSPEC,a1,a1,0.084870721,Random,BlueTit,8.4870721
ShakeyR_25JUNE_MSPEC,a1,a1,0.106014571,Random,BlueTit,10.6014571
ShaniaR_10JUNE_MSPEC,a1,a1,0.1476875,Random,BlueTit,14.76875
TYR_04JUNE_MSPEC,a1,a1,0.396029167,Random,BlueTit,39.6029167
